job_id,ova_id,phase,resource_type,claim,veredicto,evidencia,error
,,explain,2,Cada nodo en un árbol de decisión representa una pregunta sencilla,soportada,Cada nodo interno aplica una prueba sobre un atributo,
,,explain,2,Un nodo elige la pregunta cuya división reduce más la incertidumbre entre clases,soportada,La ganancia de información de una división es la entropía del nodo padre menos la media ponderada de las entropías de los nodos hijos.,
,,explain,2,La impureza baja cuando los pacientes en una rama comparten el mismo resultado,no_inferible,,
,,explain,2,Cada decisión en un árbol de decisión es una regla clara que separa dos grupos con características distintivas,soportada,"Cada nodo interno aplica una prueba sobre un atributo, cada rama corresponde a un resultado de esa prueba y cada hoja asigna una etiqueta de clase o un valor numérico.",
,,explain,2,Se busca que cada rama en un árbol de decisión agrupe casos similares,soportada,"Cada nodo interno aplica una prueba sobre un atributo, cada rama corresponde a un resultado de esa prueba y cada hoja asigna una etiqueta de clase o un valor numérico.",
,,explain,2,La reducción de impureza permite que el árbol necesite menos niveles para separar las etiquetas correctas,soportada,"Un árbol de decisión es un modelo de aprendizaje supervisado que particiona el espacio de características mediante divisiones binarias sucesivas. Cada nodo interno aplica una prueba sobre un atributo, cada rama corresponde a un resultado de esa prueba y cada hoja asigna una etiqueta de clase o un va",
,,explain,2,El sobreajuste en un árbol de decisión puede ser controlado limitando variables como la profundidad máxima y la cantidad mínima de pacientes por división,soportada,"La pre-poda detiene el crecimiento mediante hiperparámetros como max_depth, min_samples_split o min_samples_leaf.",
,,explain,2,La pre-poda detiene el crecimiento del árbol desde el inicio con límites simples,soportada,"La pre-poda detiene el crecimiento mediante hiperparámetros como max_depth, min_samples_split o min_samples_leaf.",
,,explain,2,La post-poda deja crecer el árbol completo y luego recorta ramas si su aporte es marginal,soportada,La post-poda deja crecer el árbol completo y después elimina ramas,
,,explain,2,Un solo árbol puede cambiar bastante si los datos varían ligeramente,soportada,pequeños cambios en los datos de entrenamiento pueden alterar por completo la estructura del árbol,
,,explain,2,Los métodos de conjunto crean varios árboles pequeños sobre muestras distintas y promedian sus decisiones,no_inferible,,
,,explain,2,Random Forest combina muchas versiones del árbol usando subconjuntos de datos y de atributos para mejorar la estabilidad,soportada,esa inestabilidad es la motivación de los métodos de conjunto como bagging y Random Forest,
,,elaborate,1,La ganancia de información prefiere atributos con muchos valores distintos,soportada,La ganancia de información favorece los atributos con muchos valores distintos: un identificador único produciría una ganancia máxima y sería inútil para predecir.,
,,elaborate,1,El sobreajuste se produce cuando un árbol de decisión memoriza los ejemplos de entrenamiento,soportada,Un árbol desarrollado hasta que todas sus hojas son puras memoriza el conjunto de entrenamiento y generaliza mal.,
,,elaborate,1,Un árbol de decisión con profundidad ilimitada puede crecer hasta dejar hojas puras,soportada,Un árbol desarrollado hasta que todas sus hojas son puras memoriza el conjunto de entrenamiento y generaliza mal.,
,,elaborate,1,La corrección con ratio de ganancia se diseñó para balancear el sesgo de la ganancia de información,soportada,El ratio de ganancia de C4.5 corrige el sesgo dividiendo la ganancia entre la información intrínseca del atributo,
,,elaborate,1,Definir un max_depth evita que el árbol cree niveles interminables,soportada,La pre-poda detiene el crecimiento mediante hiperparámetros como max_depth,
,,elaborate,1,Establecer min_samples_leaf asegura que cada hoja tenga al menos unos pocos registros,soportada,"Sesgos conocidos... La post-poda deja crecer el árbol completo y después elimina ramas; la variante de complejidad de coste minimiza el error de entrenamiento más alpha por el número de hojas, donde alpha es un parámetro de penalización no negativo.... La pre-poda detiene el crecimiento mediante hip",
,,elaborate,1,La poda por complejidad reducirá la precisión en entrenamiento pero aumentará la de prueba,soportada,"La post-poda deja crecer el árbol completo y después elimina ramas; la variante de complejidad de coste minimiza el error de entrenamiento más alpha por el número de hojas, donde alpha es un parámetro de penalización no negativo.",
,,elaborate,1,La poda busca mejorar la generalización a costa de la precisión de entrenamiento,soportada,"Un árbol desarrollado hasta que todas sus hojas son puras memoriza el conjunto de entrenamiento y generaliza mal. Las estrategias de control son dos. La pre-poda detiene el crecimiento mediante hiperparámetros como max_depth, min_samples_split o min_samples_leaf. La post-poda deja crecer el árbol co",
,,elaborate,1,Un árbol de decisión con sesgo de atributos con muchas categorías puede dividir en muchas hojas pequeñas con pocas instancias,soportada,La ganancia de información favorece los atributos con muchos valores distintos: un identificador único produciría una ganancia máxima y sería inútil para predecir.,
,,elaborate,1,La variación de precisión entre entrenamiento y prueba es un indicador de sobreajuste,soportada,Un árbol desarrollado hasta que todas sus hojas son puras memoriza el conjunto de entrenamiento y generaliza mal.,
,,evaluate,1,Un árbol de decisión separa el espacio de atributos mediante pruebas binarias que avanzan por nodos hasta llegar a hojas puras o pardas.,soportada,"Un árbol de decisión es un modelo de aprendizaje supervisado que particiona el espacio de características mediante divisiones binarias sucesivas. Cada nodo interno aplica una prueba sobre un atributo, cada rama corresponde a un resultado de esa prueba y cada hoja asigna una etiqueta de clase o un va",
,,explore,5,Un árbol de decisión divide los datos con pruebas binarias hasta que cada grupo es puro,soportada,Un árbol de decisión es un modelo de aprendizaje supervisado que particiona el espacio de características mediante divisiones binarias sucesivas... Un árbol desarrollado hasta que todas sus hojas son puras memoriza el conjunto de entrenamiento,
,,explore,5,El modelo aprende umbrales que maximizan la separación entre clases en un árbol de decisión,soportada,"Los árboles de decisión ""particionan el espacio de características mediante divisiones binarias sucesivas"" y cada nodo ""aplica una prueba sobre un atributo""",
,,explore,5,Un árbol de decisión utiliza una escalera de decisiones para separar los datos,no_inferible,,
,,explore,5,Un árbol de decisión puede aprender patrones en los datos,soportada,Un árbol de decisión es un modelo de aprendizaje supervisado que particiona el espacio de características mediante divisiones binarias sucesivas,
,,engage,6,El modelo supervisado evalúa parámetros como frecuencia cardíaca y nivel de dolor en nodos que dividen pacientes en dos grupos según umbrales claros,no_inferible,,
,,engage,6,"Cada hoja final asigna un nivel de prioridad: alta, media o baja",no_inferible,,
,,engage,6,Los desarrolladores limitaron la profundidad del árbol y ajustaron el número mínimo de casos por división para evitar sobreajuste,soportada,"La pre-poda detiene el crecimiento mediante hiperparámetros como max_depth, min_samples_split o min_samples_leaf.",
